1.0,29.73,29.73,29.73
2.0,14.10,14.10,28.19
4.0,2.04,2.04,8.16
8.0,0.54,0.54,4.33
16.0,0.51,0.51,8.16
32.0,0.52,0.52,16.56
64.0,0.68,0.68,43.37
128.0,0.49,0.49,62.78
256.0,1.10,1.10,281.81
512.0,0.75,0.75,384.59
1024.0,0.54,0.54,552.16
2048.0,1.22,1.23,2491.24
4096.0,1.54,1.59,6307.81
8192.0,1.67,1.75,13678.00
16384.0,1.05,1.23,17241.84
32768.0,0.08,0.09,2607.67
65536.0,0.04,0.08,2577.45
131072.0,0.05,0.10,6862.32
